skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift
Bedriftskontakt,1,1,0.011494252873563218,0.0001,114.94252873563218
Bedriftssalg,1,20,0.011494252873563218,0.002,5.747126436781609
Beregninger,1,2,0.011494252873563218,0.0002,57.47126436781609
Bergen,1,4,0.011494252873563218,0.0004,28.735632183908045
Biostratigraf,1,1,0.011494252873563218,0.0001,114.94252873563218
Biostratigrafi,1,1,0.011494252873563218,0.0001,114.94252873563218
Boring,1,3,0.011494252873563218,0.0003,38.31417624521073
Brukeropplevelse,1,16,0.011494252873563218,0.0016,7.183908045977011
Brukerstøtte,1,81,0.011494252873563218,0.0081,1.4190435646374344
Brønn,1,3,0.011494252873563218,0.0003,38.31417624521073
Budsjettering,1,31,0.011494252873563218,0.0031,3.7078235076010384
C#,3,23,0.034482758620689655,0.0023,14.992503748125937
CRM,1,66,0.011494252873563218,0.0066,1.7415534656913967
Compliance,2,33,0.022988505747126436,0.0033,6.966213862765587
Copilot,2,2,0.022988505747126436,0.0002,114.94252873563218
Cybersecurity,1,1,0.011494252873563218,0.0001,114.94252873563218
Dashboard,1,1,0.011494252873563218,0.0001,114.94252873563218
Data,2,6,0.022988505747126436,0.0006,38.31417624521073
Data Governance,1,1,0.011494252873563218,0.0001,114.94252873563218
Data Scientist,5,5,0.05747126436781609,0.0005,114.94252873563218
Data governance,1,7,0.011494252873563218,0.0007,16.420361247947454
Data science,2,2,0.022988505747126436,0.0002,114.94252873563218
Data scientist,5,6,0.05747126436781609,0.0006,95.78544061302682
Dataanalyse,13,79,0.14942528735632185,0.0079,18.91459333624327
Dataanalytiker,4,8,0.04597701149425287,0.0008,57.47126436781609
Dataarkitektur,1,6,0.011494252873563218,0.0006,19.157088122605366
Databaser,1,13,0.011494252873563218,0.0013,8.841732979664014
Databricks,2,8,0.022988505747126436,0.0008,28.735632183908045
Datadrevet utvikling,1,1,0.011494252873563218,0.0001,114.94252873563218
Dataingeniør,3,13,0.034482758620689655,0.0013,26.525198938992045
Dataintegrasjon,1,2,0.011494252873563218,0.0002,57.47126436781609
Datamodellering,5,37,0.05747126436781609,0.0037,15.532774153463807
Dataplattform,10,38,0.11494252873563218,0.0038,30.248033877797944
Datasikkerhet,2,4,0.022988505747126436,0.0004,57.47126436781609
Datastyring,1,3,0.011494252873563218,0.0003,38.31417624521073
Datavarehus,1,10,0.011494252873563218,0.001,11.494252873563218
Datavitenskap,1,2,0.011494252873563218,0.0002,57.47126436781609
Design,2,32,0.022988505747126436,0.0032,7.183908045977011
DevOps,2,31,0.022988505747126436,0.0031,7.415647015202077
Digital,1,2,0.011494252873563218,0.0002,57.47126436781609
Digital Engineering,1,1,0.011494252873563218,0.0001,114.94252873563218
Digital markedsføring,1,28,0.011494252873563218,0.0028,4.105090311986864
Digital plattform,1,3,0.011494252873563218,0.0003,38.31417624521073
Digital transformasjon,2,11,0.022988505747126436,0.0011,20.89864158829676
Digital tvilling,1,3,0.011494252873563218,0.0003,38.31417624521073
Digital utvikling,1,14,0.011494252873563218,0.0014,8.210180623973727
Digitalisering,5,186,0.05747126436781609,0.0186,3.0898529230008656
Doktorgrad,1,5,0.011494252873563218,0.0005,22.988505747126435
Dynamics 365,1,3,0.011494252873563218,0.0003,38.31417624521073
Dynamiske systemer,1,1,0.011494252873563218,0.0001,114.94252873563218
E-handel,1,10,0.011494252873563218,0.001,11.494252873563218
Elektriker,1,132,0.011494252873563218,0.0132,0.8707767328456983
Elektroingeniør,1,25,0.011494252873563218,0.0025,4.597701149425287
Elkraft,1,56,0.011494252873563218,0.0056,2.052545155993432
Emballasjedesign,1,1,0.011494252873563218,0.0001,114.94252873563218
Endringsledelse,1,122,0.011494252873563218,0.0122,0.942151874882231
Energi,10,71,0.11494252873563218,0.0071,16.18908855431439
Energiingeniør,1,2,0.011494252873563218,0.0002,57.47126436781609
Energisektoren,1,5,0.011494252873563218,0.0005,22.988505747126435
Energiselskap,1,3,0.011494252873563218,0.0003,38.31417624521073
Energisystem,1,9,0.011494252873563218,0.0009,12.77139208173691
Etterretning,1,52,0.011494252873563218,0.0052,2.2104332449160036
Evaluering,1,6,0.011494252873563218,0.0006,19.157088122605366
Feilsøking,1,165,0.011494252873563218,0.0165,0.6966213862765587
Finans,5,118,0.05747126436781609,0.0118,4.87044613286577
Finansiell analyse,1,9,0.011494252873563218,0.0009,12.77139208173691
